basin,name,alpha,1,damped_1,2,damped_2,3,damped_3,4,damped_4,5,damped_5,6,damped_6,7,damped_7
camels_10336645,,0.8448849612239314,0.7846968173980713,0.7978297561703714,0.47855544090270996,0.5587824393895231,0.30409079790115356,0.4475535958567548,0.21080750226974487,0.39512837876045237,0.1560690999031067,0.3632781006706467,0.08908164501190186,0.32734409143484444,0.014730274677276611,0.2926809146771877
camels_10336660,,0.7972592972601902,0.7707590460777283,0.7842019600780791,0.5175709128379822,0.5866803844595643,0.39632993936538696,0.4987155870061797,0.34226298332214355,0.449080613853886,0.33264535665512085,0.4160404665495141,0.2889499068260193,0.37376925986867326,0.20764660835266113,0.32970222273005045
camels_10343500,,0.8428508765862103,0.9109435677528381,0.9028644401095199,0.7925453782081604,0.7776778677270613,0.7183319330215454,0.687531939147735,0.6631044745445251,0.6108640445505353,0.622101902961731,0.5443810403888099,0.5805312395095825,0.4821213884701243,0.533377468585968,0.4240809215762231
camels_11124500,,0.6746848869232048,,,,,,,,,,,,,,
camels_11141280,,0.7070256062673219,,,,,,,,,,,,,,
camels_11143000,,0.8469580434144833,,,,,,,,,,,,,,
camels_11148900,,0.6077159293654575,0.05050528049468994,0.2751234081678279,-0.29867029190063477,0.13812330981668475,-0.33976900577545166,0.12126116231868023,-0.2071315050125122,0.11864913579561764,-0.27781498432159424,0.08577896667957441,-0.5180329084396362,0.05688200243996644,-0.5016849040985107,0.05091321114282765
camels_11151300,,0.4323226901609749,,,,,,,,,,,,,,
camels_11176400,,0.668880641457187,,,,,,,,,,,,,,
camels_11230500,Bear Ck nr Lk Edison,0.9616097138084827,0.9777917861938477,0.9779807121859454,0.9351484179496765,0.9374604794853555,0.8866317868232727,0.8935803021539869,0.8385549187660217,0.8522914212798031,0.7917673587799072,0.8142016260442,0.751611590385437,0.7833708259477956,0.7223663330078125,0.7624221430445518
camels_11237500,Pitman Ck,0.8938175882993996,0.90677410364151,0.9081553797507487,0.794980525970459,0.8056494972633086,0.7366551160812378,0.7501859197484083,0.6927627325057983,0.705032774553642,0.6450194120407104,0.6580675658845668,0.5990071296691895,0.6139389175819288,0.5596266984939575,0.5752897116862612
camels_11264500,Merced @ Happy Isles,0.9435632474699933,0.9582360982894897,0.9585293448073434,0.8948254585266113,0.8985388581027679,0.8357208967208862,0.8453327844595899,0.7831475734710693,0.8000622766590568,0.7333512306213379,0.7590687909012566,0.6867905855178833,0.7223738625537044,0.6485092639923096,0.693009604519587
