basin,window,date,obs_peak,sim_peak,rel_error,norm_magnitude,regime
camels_10336645,WY2017,2016-10-28,8.463431358337402,3.4806432723999023,-0.5887432502218986,0.1110540803045591,snow
camels_10336645,WY2017,2016-12-10,17.790996551513672,4.192968368530273,-0.7643207699810648,0.23344701174702526,snow
camels_10336645,WY2017,2016-12-16,27.703125,7.9782514572143555,-0.7120089716515968,0.3635103704606178,snow
camels_10336645,WY2017,2017-01-09,62.14141082763672,11.93828010559082,-0.8078852741418384,0.815397081408674,snow
camels_10336645,WY2017,2017-02-09,53.75422668457031,16.131696701049805,-0.6998990089521598,0.7053434894414324,snow
camels_10336645,WY2017,2017-03-21,14.105719566345215,15.100714683532715,0.07053841617278818,0.18509014218344444,snow
camels_10336645,WY2017,2017-04-07,13.597405433654785,24.00649070739746,0.7655199607403973,0.17842022827717338,snow
camels_10336645,WY2017,2017-05-05,28.71975326538086,20.605270385742188,-0.28254013203588235,0.37685019827315996,snow
camels_10336645,WY2017,2017-05-23,22.238746643066406,20.54922866821289,-0.07597181630648565,0.29180877719755044,snow
camels_10336645,WY2017,2017-06-19,14.105719566345215,9.048110961914062,-0.3585502023234662,0.18509014218344444,snow
camels_10336645,WY2023,2022-12-31,17.409761428833008,27.619945526123047,0.5864631826821326,0.2284445825742064,snow
camels_10336645,WY2023,2023-05-01,18.80762481689453,22.005537033081055,0.1700327525309788,0.2467868395595674,snow
camels_10336645,WY2023,2023-05-21,32.65918731689453,21.874021530151367,-0.3302337465440856,0.4285420247898763,snow
camels_10336660,WY2017,2016-12-10,43.79808044433594,4.803802967071533,-0.8903193263646153,0.2595288093740831,snow
camels_10336660,WY2017,2016-12-16,39.663002014160156,9.858926773071289,-0.7514326633785426,0.23502609211422754,snow
camels_10336660,WY2017,2017-01-08,59.494503021240234,9.628829002380371,-0.8381559889836753,0.3525391381713413,snow
camels_10336660,WY2017,2017-02-08,52.912132263183594,17.22953987121582,-0.6743744934428927,0.31353480674023304,snow
camels_10336660,WY2017,2017-05-05,33.080631256103516,22.74442481994629,-0.3124549334060895,0.19602176068311927,snow
camels_10336660,WY2017,2017-05-24,30.2957820892334,24.087343215942383,-0.2049274996435028,0.17951992815457346,snow
camels_10336660,WY2017,2017-06-19,29.62066650390625,20.891408920288086,-0.29470159229762727,0.1755194801378499,snow
camels_10336660,WY2023,2022-12-31,28.43921661376953,33.525875091552734,0.17886071008441123,0.16851871023625536,snow
camels_10336660,WY2023,2023-05-01,19.915889739990234,21.467849731445312,0.07792571718946659,0.11801309782090272,snow
camels_10336660,WY2023,2023-05-21,39.663002014160156,25.847274780273438,-0.3483278252350728,0.23502609211422754,snow
camels_10343500,WY2017,2016-12-10,7.582610130310059,2.8288512229919434,-0.62692909507715,0.1053140295876397,snow
camels_10343500,WY2017,2016-12-16,6.357865333557129,3.9044480323791504,-0.3858869561500021,0.08830368518829346,snow
camels_10343500,WY2017,2017-01-09,18.551279067993164,3.0829148292541504,-0.8338165892521581,0.25765665372212726,snow
camels_10343500,WY2017,2017-02-10,20.442428588867188,5.922892093658447,-0.7102647531377942,0.28392261928982204,snow
camels_10343500,WY2017,2017-05-05,14.859033584594727,12.326590538024902,-0.17043120820423768,0.20637546645270455,snow
camels_10343500,WY2017,2017-05-24,12.967884063720703,10.45980453491211,-0.19340699812587495,0.18010950088500977,snow
camels_10343500,WY2023,2023-05-01,10.71651554107666,10.93248176574707,0.02015265352274314,0.14884049362606472,snow
camels_10343500,WY2023,2023-05-21,17.47062110900879,9.46505069732666,-0.4582304407914855,0.24264751540289986,snow
camels_11148900,WY2017,2016-12-16,5.955704689025879,2.7937746047973633,-0.5309078017341529,0.04184139976291739,rain
camels_11148900,WY2017,2017-01-04,31.997316360473633,11.241095542907715,-0.6486863018051767,0.224794978106628,rain
camels_11148900,WY2017,2017-01-11,50.915435791015625,14.89287281036377,-0.7074978819489606,0.35770294436534306,rain
camels_11148900,WY2017,2017-01-22,50.03959655761719,23.02631187438965,-0.5398381789933814,0.3515497951737459,rain
camels_11148900,WY2017,2017-02-07,30.771141052246094,17.913814544677734,-0.41783717041035295,0.21618056655840223,rain
camels_11148900,WY2017,2017-02-21,47.587249755859375,13.51607894897461,-0.7159726813733255,0.3343209988771915,rain
camels_11148900,WY2017,2017-03-25,3.9120805263519287,2.630725860595703,-0.3275379065244107,0.027484056674171354,rain
camels_11148900,WY2017,2017-04-07,4.86382532119751,4.8553009033203125,-0.001752615958481521,0.03417047524472058,rain
camels_11148900,WY2023,2022-12-04,8.816778182983398,8.437768936157227,-0.04298727255696068,0.06194167774217084,rain
camels_11148900,WY2023,2022-12-10,22.304698944091797,13.737899780273438,-0.3840804659722872,0.15670015117285999,rain
camels_11148900,WY2023,2022-12-31,24.231544494628906,18.317453384399414,-0.24406579248550964,0.17023707403439434,rain
camels_11148900,WY2023,2023-01-09,139.5503387451172,38.65105438232422,-0.7230314542416214,0.9804014495957182,rain
camels_11148900,WY2023,2023-01-14,53.251007080078125,22.43210220336914,-0.5787478315736628,0.37411134220960224,rain
camels_11148900,WY2023,2023-02-24,4.898859024047852,9.008935928344727,0.8389865648554184,0.03441660215038087,rain
camels_11148900,WY2023,2023-03-01,15.648322105407715,11.989204406738281,-0.23383450788023613,0.10993622669668542,rain
camels_11148900,WY2023,2023-03-10,79.40939331054688,53.14447784423828,-0.33075325690493823,0.5578853123056338,rain
camels_11148900,WY2023,2023-03-22,26.27516746520996,13.800665855407715,-0.4747639240099726,0.1845944087481725,rain
camels_11148900,WY2023,2023-03-29,8.116106986999512,9.07980728149414,0.1187392300321197,0.05701915972888795,rain
camels_11230500,WY2017,2017-05-05,10.260000228881836,11.350763320922852,0.10631218983509615,0.40140846804605185,snow
camels_11230500,WY2017,2017-06-04,15.804000854492188,15.590977668762207,-0.013479066958505636,0.6183099055049023,snow
camels_11230500,WY2017,2017-06-19,23.040000915527344,17.00106430053711,-0.2621066134993256,0.9014085053572544,snow
camels_11230500,WY2023,2023-07-03,18.18000030517578,13.857743263244629,-0.23774790810650434,0.7112676324348074,snow
camels_11237500,WY2017,2017-01-09,42.956520080566406,2.2150521278381348,-0.9484350193245699,0.47314153152761756,snow
camels_11237500,WY2017,2017-02-08,14.497825622558594,5.573348522186279,-0.6155734889296669,0.1596852679409887,snow
camels_11237500,WY2017,2017-05-04,26.228260040283203,20.254396438598633,-0.22776438820224792,0.2888893025200699,snow
camels_11237500,WY2017,2017-05-23,22.263042449951172,19.070205688476562,-0.14341421522473052,0.24521469573136262,snow
camels_11237500,WY2023,2023-03-11,22.139129638671875,3.6476588249206543,-0.8352392851727537,0.24384986689525998,snow
camels_11237500,WY2023,2023-04-30,24.493478775024414,19.99144172668457,-0.18380553818800516,0.26978167780627726,snow
camels_11237500,WY2023,2023-05-23,33.82826232910156,25.79952049255371,-0.23733828709377533,0.3725989865401146,snow
camels_11264500,WY2017,2016-10-28,8.77168083190918,1.109328031539917,-0.873533014618537,0.18603776347906853,snow
camels_11264500,WY2017,2017-01-09,13.575221061706543,3.698119640350342,-0.7275830998596312,0.28791560174723646,snow
camels_11264500,WY2017,2017-05-05,19.840707778930664,15.110099792480469,-0.2384293967311864,0.42079972718645253,snow
camels_11264500,WY2017,2017-06-04,20.93716812133789,15.07534122467041,-0.2799722895998271,0.4440544526779336,snow
camels_11264500,WY2017,2017-06-20,22.294689178466797,17.754497528076172,-0.2036445367794472,0.4728459906036283,snow
camels_11264500,WY2023,2023-04-30,14.097344398498535,15.75284481048584,0.11743349422346715,0.2989892670684437,snow
camels_11264500,WY2023,2023-05-23,23.547786712646484,18.594406127929688,-0.2103544016753198,0.4994228197367495,snow
