basin,name,alpha,NSE_mean,KGE_mean,NSE_clim_raw,KGE_clim_raw,NSE_climatology,KGE_climatology,NSE_persistence,KGE_persistence,NSE_damped_persistence,KGE_damped_persistence,note
camels_10336645,,0.8448849612239314,-0.15489266004413826,,0.15434598922729492,0.02383366800441733,0.14814086224434175,0.015639658630594244,0.7846968173980713,0.8923521900647943,0.7978297561703714,0.8114780695168342,
camels_10336660,,0.7972592972601902,-0.1679405653974293,,0.19665610790252686,0.07470551745052922,0.19167064243612542,0.06669485621972948,0.7707590460777283,0.8853846950413888,0.7842019600780791,0.7760225936336509,
camels_10343500,,0.8428508765862103,-0.20373377646026958,,0.10640889406204224,-0.03131831549732933,0.09855972236112698,-0.03815168172421868,0.9109435677528381,0.955474649577513,0.9028644401095199,0.8276148437201494,
camels_11124500,,,,,,,,,,,,,insufficient data
camels_11141280,,,,,,,,,,,,,insufficient data
camels_11143000,,,,,,,,,,,,,insufficient data
camels_11148900,,0.6077159293654575,-0.047310857761545755,,0.05037111043930054,-0.2552224734869821,0.03880091087052184,-0.2706658674588176,0.05050528049468994,0.5252533000671036,0.2751234081678279,0.34577414416538377,
camels_11151300,,,,,,,,,,,,,insufficient data
camels_11176400,,,,,,,,,,,,,insufficient data
camels_11230500,Bear Ck nr Lk Edison,0.9616097138084827,-0.18795907382172095,,0.34193336963653564,0.15755238206289912,0.3336444792049107,0.14946319014671805,0.9777917861938477,0.9888912105367127,0.9779807121859454,0.9623553655382115,
camels_11237500,Pitman Ck,0.8938175882993996,-0.20267759037236943,,0.2297576665878296,0.0358410381184282,0.21847949473127826,0.02704971871827988,0.90677410364151,0.9533883378963739,0.9081553797507487,0.8837682578310787,
camels_11264500,Merced @ Happy Isles,0.9435632474699933,-0.2276835554390806,,0.26421910524368286,0.09831195561666117,0.25605580384757465,0.09102450819659191,0.9582360982894897,0.9791187834166777,0.9585293448073434,0.941786064010739,
camels_11266500,Merced @ Pohono,0.930920095274036,-0.26866306563409115,,0.21353799104690552,0.08381716174210829,0.20482462930390422,0.07646166830108225,0.944469690322876,0.9722361458540495,0.9448012740634723,0.9276298407545478,
camels_11284400,,,,,,,,,,,,,insufficient data
camels_11381500,Mill Ck (rain),0.7313908786488877,-0.11539726410200402,,0.03222006559371948,-0.04673282170236348,0.0338691951544684,-0.04916769432218371,0.5406757593154907,0.7703647166848291,0.5941695427367906,0.6519574311524745,
camels_11451100,,0.7700097528236406,-0.07852409369415358,,0.1299419403076172,-0.03224498259566899,0.13100519157391888,-0.03515430144005305,0.6352273225784302,0.8176310691634108,0.6733203557242549,0.7082783353457751,
camels_11468500,,0.7361920227191461,-0.03120798181048756,,0.21375155448913574,0.097796892830329,0.21715430271085467,0.090391468282082,0.6734693050384521,0.8367349500342248,0.7053924243609803,0.7143612725052775,
camels_11473900,,0.76018014991979,-0.07309501435043364,,0.16561055183410645,0.037795522157570094,0.1642079099780458,0.031483978047620154,0.6667705178260803,0.8333855881005696,0.6988928521653224,0.7190750804448838,
camels_11475560,,0.812139190990676,-0.03956784997550922,,0.23780006170272827,0.13517436776190228,0.234482904699034,0.12394618973250748,0.613013505935669,0.8065071662860948,0.6588312290196437,0.7501815612611307,
camels_11476600,,0.8488800155787096,-0.05090346046700844,,0.26470303535461426,0.15482027599501613,0.2640275402666815,0.14681948484850738,0.7234102487564087,0.8617058983540951,0.7486526363918082,0.8116484012704162,
camels_11478500,,0.7315385503246795,-0.043008094099802774,,0.1949857473373413,0.08231884206017015,0.19053397337043743,0.07194674625549635,0.6241931915283203,0.8120976136492345,0.6669284147836634,0.6945740074439077,
camels_11480390,,0.7880682940547341,-0.06052606264685623,,0.19474399089813232,0.046700259108054865,0.1868690488424708,0.036091599051531476,0.6611892580986023,0.8305944196569677,0.6967429601175392,0.7388918851104649,
camels_11481200,,0.6754154082720271,-0.029542448780152997,,0.29442310333251953,0.263194595530281,0.2869428002091148,0.24299757394543442,0.5084123015403748,0.7542076670022557,0.5928289173436005,0.6612346832254581,
camels_11482500,,0.7964645584018902,-0.05546889520966203,,0.34023618698120117,0.2608276174666656,0.327858936620294,0.2449519169071307,0.763776957988739,0.8818901123146822,0.7843005207447479,0.803727750070267,
camels_11522500,,0.8693363726970134,-0.1312823730410253,,0.18720906972885132,0.14582563806914306,0.18680256561465436,0.13977968967772614,0.8025122880935669,0.9012617589687522,0.8144552877356992,0.8498100564314268,
camels_11523200,,0.8503230748700094,-0.08898592965134977,,0.23266595602035522,0.1574311930287854,0.22742985198227372,0.14851308982934996,0.6997075080871582,0.8498604008462243,0.7275186033305889,0.8038060608828184,
camels_11528700,,0.862388896033508,-0.09296526504245861,,0.17364591360092163,0.046046257732659135,0.17362669261513342,0.041908996563375545,0.7872127294540405,0.8936084349300253,0.80115911203669,0.8314680226134552,
camels_11532500,,0.7386469692610308,-0.042591564602940446,,0.23682814836502075,0.19611958358945125,0.22712386557516295,0.1779907038405545,0.6241680979728699,0.8120871757250278,0.6698150874907035,0.7186085891642687,
