model,basin,n_days,NSE,KGE,FHV,Peak-Timing,Missed-Peaks,Peak-MAPE
determ h128 @14,camels_10343500,730,0.696267018053848,0.6281817907210856,-33.43058500027021,0.5,0.8333333333333333,47.21246004748096
determ h128 @14,camels_11148900,730,0.39300363454986753,0.3326336031071466,-54.03745950552394,1.0,0.5,83.42533658246879
determ h128 @14,camels_11230500,730,0.9202825529125853,0.839072821631558,-17.414794491930664,0.0,0.41666666666666663,24.992726080291497
determ h128 @14,camels_11237500,730,0.7877868057019587,0.6552227276904996,-26.249032866635307,1.0,0.8333333333333333,46.40824830273448
determ h128 @14,camels_11264500,730,0.8609761182276249,0.6513378571011901,-20.736666843514676,0.75,0.3,38.534931982265746
determ h128 @14,camels_11266500,730,0.8193726443205349,0.6351244374034151,-19.725115701094627,1.0,0.5416666666666666,57.1288496230555
determ h128 @14,camels_11381500,730,0.7256634475450556,0.8117718816853082,-14.786853852145564,0.5,0.6,43.19228827639952
determ h128 @14,camels_11451100,577,0.7322677529624708,0.8136654565700806,-6.042845146058756,1.0,0.375,54.02582856952233
determ h128 @14,camels_11468500,730,0.7736630326713477,0.8612771846765266,3.014452481877518,1.0,0.375,23.718004086126108
determ h128 @14,camels_11473900,730,0.7287805295299654,0.7683614744526549,-23.785492183901358,1.0,0.4666666666666667,47.97463908953378
determ h128 @14,camels_11475560,730,0.7283935311789542,0.8467195373357681,-1.359705047820521,1.0,0.43333333333333335,64.86230628249983
determ h128 @14,camels_11476600,730,0.7683460722593232,0.7844905163481131,-14.801923646945372,1.0,0.25,50.043784696980865
determ h128 @14,camels_11478500,730,0.7586885636109686,0.7349134495983154,-24.604067881073313,0.5,0.475,48.709390883685884
determ h128 @14,camels_11480390,730,0.7712443899896719,0.7521072489950608,-27.095604834566778,1.0,0.6333333333333333,45.810687971802274
determ h128 @14,camels_11481200,730,0.7404086928351123,0.8456412575989727,-10.841306570898533,0.75,0.3333333333333333,61.72003261543056
determ h128 @14,camels_11482500,730,0.8649231048983396,0.8475149707430891,-12.854702899172105,0.5,0.6333333333333333,31.635734743210342
determ h128 @14,camels_11522500,730,0.811748589227553,0.8747334396032181,-4.5678254529539695,0.25,0.41666666666666663,22.692257096967744
determ h128 @14,camels_11523200,730,0.7499186162574403,0.84433328985314,-5.925097928405778,0.5833333333333333,0.3333333333333333,34.361789507131654
determ h128 @14,camels_11528700,730,0.8255980442678651,0.8504250199963981,-11.096840418746568,1.0,0.125,35.07215680868712
determ h128 @14,camels_11532500,730,0.72750958959711,0.7037535992156834,-30.55904653338535,0.75,0.25,49.303044117098196
CMAL h128 @16,camels_10336645,730,0.5324230281095499,0.5255468613165147,-33.065850394351074,1.25,0.4583333333333333,56.54399460690475
CMAL h128 @16,camels_10336660,730,0.7081032395489112,0.6709313248798054,-34.04114489723689,1.0,0.75,59.04039891236138
CMAL h128 @16,camels_10343500,730,0.8290798952842392,0.6174335209703607,-28.417553587896663,0.75,0.25,34.39337651736434
CMAL h128 @16,camels_11148900,730,0.3886212042377978,0.2564064922949739,-56.844457659698335,1.0,0.3333333333333333,81.81581320307544
CMAL h128 @16,camels_11230500,730,0.8721981923568654,0.7370259135831432,-18.51622338557518,1.5,0.5833333333333333,34.753861669974754
CMAL h128 @16,camels_11237500,730,0.8235099198346874,0.6987990052143979,-17.426148852254936,1.5,0.8333333333333333,38.932544276733125
CMAL h128 @16,camels_11264500,730,0.847667972715821,0.6383910085925398,-19.823930470815842,0.5,0.3,32.76854626932366
CMAL h128 @16,camels_11266500,730,0.8146486569440701,0.6132709001856003,-20.62466167162791,1.0,0.8333333333333333,58.47657989466772
CMAL h128 @16,camels_11381500,730,0.6807175111396089,0.6509875023235254,-25.03350912786768,0.75,0.30000000000000004,47.796292542941
CMAL h128 @16,camels_11451100,577,0.74046439182638,0.8586226980800721,-7.842227184741212,1.0,0.125,41.3900707707054
CMAL h128 @16,camels_11468500,730,0.8518170583642843,0.8670515701760872,-5.353674467350831,0.5,0.25,21.39519064022066
CMAL h128 @16,camels_11473900,730,0.717311494389902,0.7698398323237445,-21.106375079642763,1.0,0.3666666666666667,43.913965116620474
CMAL h128 @16,camels_11475560,730,0.7683295447739714,0.7930914880958766,-12.948814422192985,0.5,0.3333333333333333,68.11419227732252
CMAL h128 @16,camels_11476600,730,0.8697902344859775,0.9322233213037872,-1.1404029962271771,0.5,0.25,25.366739446051653
CMAL h128 @16,camels_11478500,730,0.7272496994079451,0.6387926560353303,-27.72807171786933,1.0,0.575,43.452566032597204
CMAL h128 @16,camels_11480390,730,0.6814405716146097,0.592159579973333,-35.577219674363164,0.5,0.6333333333333333,54.74939868032918
CMAL h128 @16,camels_11481200,730,0.7526427150368974,0.824033591487701,-21.452916030911688,1.25,0.5,61.73097014666193
CMAL h128 @16,camels_11482500,730,0.8800540540905014,0.8009504932737814,-21.264483757037294,0.0,0.8333333333333333,35.85913332787182
CMAL h128 @16,camels_11522500,730,0.7998852907024676,0.773441121264264,-9.28840172225436,0.5,0.29166666666666663,35.9777193824072
CMAL h128 @16,camels_11523200,730,0.7987727559526563,0.8551611671127277,-9.626782945678615,1.0,0.3333333333333333,35.66214842721232
CMAL h128 @16,camels_11528700,730,0.8705377721308344,0.8561993647902433,-9.507518132441291,1.0,0.125,19.91913142310429
CMAL h128 @16,camels_11532500,730,0.7592282774135066,0.7211106048892016,-26.772962464340083,0.75,0.3333333333333333,58.835639145152314
