basin,LSTM_NSE,LSTM_KGE,NWM_NSE,NWM_KGE
Merced @ Happy Isles (snow),0.8298727,0.7746983750349103,0.6022995985271046,0.7027547433997724
Merced @ Pohono (snow),0.87625265,0.7999309996173002,0.6559621832870934,0.7934770135935943
Bear Ck (snow),0.86831295,0.7804747870595999,-0.46458990340352657,0.19415655386467812
Pitman Ck (snow),0.8063706,0.6596129216890372,0.528870359439118,0.7060375838703605
Mill Ck (rain),0.7855224,0.8172526317875632,0.4565254488301983,0.6536514194085814
