basin,NSE,KGE,FHV,Peak-Timing,Missed-Peaks,Peak-MAPE,NSE_bootstd,KGE_bootstd,FHV_bootstd,Peak-Timing_bootstd,Missed-Peaks_bootstd,Peak-MAPE_bootstd
camels_10336645,0.5324230281095499,0.5255468613165147,-35.09977027742247,1.25,0.5555555555555556,56.54399460690475,7.362984702155008e-05,0.00019955882367150092,0.04771728791777232,0.0,0.1018350154434631,0.07791726143457853
camels_10336660,0.7081032395489112,0.6709313248798054,-34.82840280919525,1.0,0.7777777777777778,59.04039891236139,0.0004435619187117492,0.0003212951850404263,0.11189404791217065,0.09999999999999999,0.0,0.07756670139943413
camels_10343500,0.8290798952842392,0.6174335209703607,-26.775166597757504,0.75,0.42857142857142855,34.39337651736434,0.00031883941470342044,0.00035699222018221706,0.08159656398799761,0.0,0.0,0.21212821809402096
camels_11148900,0.3886212042377978,0.2564064922949739,-54.70268709926033,1.0,0.3333333333333333,81.81581320307542,0.0010432778781169728,0.0010929390178982385,0.12510328241027266,0.0,5.551115123125783e-17,0.14703157051289625
camels_11230500,0.8721981923568654,0.7370259135831432,-17.78677986170243,1.5,0.6,34.753861669974754,8.427818499349065e-05,0.00013225316904792584,0.05139711068010244,0.0,1.1102230246251565e-16,0.12419893328236288
camels_11237500,0.8235099198346874,0.6987990052143979,-15.415173863860229,1.25,0.875,59.07904411620769,0.00016215526726153198,0.00023054024954237285,0.0703835972606707,0.09999999999999999,0.049999999999999996,0.0846485589837703
camels_11264500,0.847667972715821,0.6383910085925398,-19.003557591507906,0.5,0.42857142857142855,50.38864896454787,9.105778698988422e-05,0.00015175099965694495,0.04744299345086215,0.11180339887498948,0.04285714285714286,0.1340337223971647
camels_11266500,0.8146486569440701,0.6132709001856003,-21.186839897890174,1.0,0.8571428571428571,58.47657989466772,8.943424012086823e-05,9.955438269636245e-05,0.03632763520383586,0.0,0.0,0.057596777923020405
camels_11381500,0.6807175111396089,0.6509875023235254,-25.372437330804804,0.75,0.3,47.79629254294101,0.000522226387357643,0.0008606635289196572,0.12175970754206845,0.0,0.04582575694955841,0.08038376585413119
camels_11451100,0.74046439182638,0.8586226980800721,-4.509408336904134,1.0,0.16666666666666666,41.3900707707054,0.0018031899066291953,0.0007065758751603255,0.20898682682841288,0.0,2.7755575615628914e-17,0.29046184799915437
camels_11468500,0.8518170583642843,0.8670515701760872,-12.501676994730499,0.5,0.16666666666666666,21.395190640220658,0.0007746414099644786,0.001229184223994816,0.18094616440262423,0.0,2.7755575615628914e-17,0.48954648384883526
camels_11473900,0.717311494389902,0.7698398323237445,-17.712263201689616,1.0,0.375,43.91396511662047,0.0012372027990472363,0.0007016709971063666,0.168381019190714,0.0,0.0,0.23350304240174305
camels_11475560,0.7683295447739714,0.7930914880958766,-13.777985355079595,0.5,0.14285714285714285,68.11419227732252,0.0007366236112435751,0.000513587400016829,0.15083938626967003,0.2,0.11428571428571428,0.14520260834215568
camels_11476600,0.8697902344859775,0.9322233213037872,-0.10591969152846674,0.5,0.16666666666666666,25.366739446051657,0.001058202224115186,0.0005884816676972744,0.15859400119482764,0.15000000000000002,0.1,0.5816950949878066
camels_11478500,0.7272496994079451,0.6387926560353303,-31.485782850774807,1.0,0.42857142857142855,45.965552216804966,0.0005559897327011734,0.0004853896699798178,0.07544362444109415,0.0,0.0,0.17409051247943477
camels_11480390,0.6814405716146097,0.592159579973333,-35.68175625474218,0.5,0.5714285714285714,54.74939868032918,0.000606967829392677,0.0007258938774910127,0.10924358660824932,0.0,0.0,0.2593711731668557
camels_11481200,0.7526427150368974,0.824033591487701,-21.167349613740402,1.0,0.5,56.500462824579955,0.0007572176514694398,0.0005385424938463059,0.0709997337667931,0.16329931618554522,0.0,0.24907631859984947
camels_11482500,0.8800540540905014,0.8009504932737814,-20.402002364707506,0.0,0.875,35.85913332787182,0.00033663558124662874,0.0005979679135209805,0.09678230357025526,0.15000000000000002,0.0,0.2808564642259041
camels_11522500,0.7998852907024676,0.773441121264264,-14.905738283811992,0.6,0.3333333333333333,36.20339541685479,0.0005095557812239098,0.0005972478636343917,0.1396576961667957,1.1102230246251565e-16,5.551115123125783e-17,0.24363965585719505
camels_11523200,0.7987727559526563,0.8551611671127277,-10.833198232515006,1.0,0.25,37.343194145063336,0.0012214473864909584,0.000742556054533803,0.16493234967912873,0.07999999999999999,0.0,0.11716475415977011
camels_11528700,0.8705377721308344,0.8561993647902433,-10.299343571787523,1.0,0.2857142857142857,19.919131423104293,0.000651152297823455,0.0005805808932708078,0.11807471932543945,0.0,0.0,0.5440180146123936
camels_11532500,0.7592282774135066,0.7211106048892016,-28.436317209164606,0.6666666666666666,0.125,52.554838256300194,0.0003379954130632922,0.0004987065063298,0.09368166864114837,1.1102230246251565e-16,0.0,0.19248060578569817
