basin,name,NSE_ts0,KGE_ts0,NSE_ts1,KGE_ts1,NSE_ts2,KGE_ts2,NSE_ts3,KGE_ts3,NSE_ts4,KGE_ts4,NSE_ts5,KGE_ts5,NSE_ts6,KGE_ts6,NSE_ts7,KGE_ts7
camels_10336645,,0.6416518092155457,0.6310317022921347,0.6179488301277161,0.5889531857509471,0.6546679735183716,0.6177242304878977,0.665753960609436,0.6369571647762089,0.6768255233764648,0.656877331524486,0.6734600067138672,0.6582958129127623,0.6702699661254883,0.6674186999181536,0.6331576108932495,0.6471034670909015
camels_10336660,,0.685025691986084,0.6635381997486867,0.6645606756210327,0.6447032883661801,0.686841607093811,0.668765586643931,0.6952416896820068,0.6882840933487242,0.6997660994529724,0.7085267918582996,0.7101491689682007,0.7166579883048585,0.6902792453765869,0.7233749621995071,0.6732146143913269,0.7141723176645449
camels_10343500,,0.6962670087814331,0.628181683027814,0.6879725456237793,0.6064013560115904,0.6991589665412903,0.6098975816128379,0.696171224117279,0.6177482040227914,0.7075655460357666,0.6389562746610378,0.696580171585083,0.6311666566668048,0.694233775138855,0.6363341203931776,0.6820632219314575,0.6275329702362475
camels_11124500,,,,,,,,,,,,,,,,,
camels_11141280,,,,,,,,,,,,,,,,,
camels_11143000,,,,,,,,,,,,,,,,,
camels_11148900,,0.39300358295440674,0.3326336638017514,0.32118427753448486,0.29857948057702477,0.31271082162857056,0.301771556215899,0.2943822145462036,0.33663218313899945,0.2883208990097046,0.3070079863280477,0.3121594190597534,0.31108293489469463,0.34303921461105347,0.3471689274180796,0.2901414632797241,0.2538336344800416
camels_11151300,,,,,,,,,,,,,,,,,
camels_11176400,,,,,,,,,,,,,,,,,
camels_11230500,Bear Ck,0.9202825427055359,0.8390726763970519,0.9258626699447632,0.841682946054903,0.9307111501693726,0.8346407345502982,0.930514931678772,0.8316378985313744,0.9284252524375916,0.8277361997497737,0.9172202348709106,0.8070283210451579,0.9092837572097778,0.7983074075770193,0.9028440117835999,0.7861278482255573
camels_11237500,Pitman Ck,0.7877868413925171,0.6552227154837658,0.797889232635498,0.6635705203410495,0.78655606508255,0.6335138160036229,0.7672094106674194,0.5940455264497144,0.7545154690742493,0.5700800050821294,0.7333478927612305,0.5323071957442544,0.7218223214149475,0.5121213665520135,0.7049764394760132,0.49060393534960944
camels_11264500,Merced @ Happy Isles,0.8609760999679565,0.6513378679225142,0.8541978001594543,0.6349601039416348,0.857008159160614,0.6362730729646737,0.8561961054801941,0.6345711068386799,0.8581230640411377,0.6380843943316384,0.8500519394874573,0.6295307796872219,0.848640501499176,0.6341791221187172,0.8438403606414795,0.6356341238493464
camels_11266500,Merced @ Pohono,0.8193726539611816,0.6351245460970475,0.8095169067382812,0.6132975109706237,0.8095659017562866,0.6137112011690025,0.8088552355766296,0.6104902165188453,0.81141597032547,0.6147508512725433,0.8018146753311157,0.6046598813503619,0.7994580268859863,0.6053211374993892,0.7919732332229614,0.6019323045599766
camels_11284400,,,,,,,,,,,,,,,,,
camels_11381500,Mill Ck (rain),0.7256634831428528,0.8117719915489332,0.6184162497520447,0.7444591174920121,0.6190040111541748,0.7369603283392459,0.6056684255599976,0.7303584504181762,0.6529488563537598,0.7488566704058313,0.6661900281906128,0.7939642060611825,0.5801264047622681,0.7487767759992702,0.51187664270401,0.6778014512943653
camels_11451100,,0.7322677373886108,0.8136655456690283,0.618218183517456,0.7662280210842571,0.6318907737731934,0.7614492705108045,0.5785833597183228,0.7236727281690918,0.5890747308731079,0.7087144503371077,0.529936671257019,0.6629094682746144,0.5289190411567688,0.6383243891361433,0.4133750796318054,0.6030866003215667
