# LSTM vs gauge persistence by storm-size bin and lead, WY2017+WY2023, 22-basin cohort.
# VALID-DATE SCORING: a forecast issued at d for lead k is scored at valid_date v = d + k; obs, precipitation percentile, storm class and the water-year mask are all taken at v.
# Matched-lead baselines (METHODS 4.2 / make_baselines.py): persistence = obs at v-k = obs on the issue date; damped = clim(v) + alpha**k * (obs(d) - clim(d)), clipped at 0, with the 31-day smoothed training day-of-year climatology and alpha the training lag-1 anomaly autocorrelation.
# Rows require obs, LSTM, plain and damped all finite, so the three models are scored on identical days.
# mae_skill_vs_X = 1 - mae_lstm/mae_X (positive = LSTM better); winrate_vs_X = fraction of basin-days with |err_lstm| < |err_X|; rel_bias = mean(sim-obs)/mean(obs).
# pooled_nse_* are FOOTNOTE columns only: within-bin NSE is computed on a precipitation-truncated variance and is not a skill measure.
# Leads 1-7 only; time_step 0 is a nowcast with no exact persistence analogue (METHODS 4.2). storm_bin "ALL" pools every bin.
# The standing asymmetry: the LSTM never ingests observed discharge; persistence uses the gauge, which a real operator also has.
storm_bin,lead,n_basin_days,mean_obs,valid_date_first,valid_date_last,mae_lstm,rel_bias_lstm,pooled_nse_lstm,mae_persistence,rel_bias_persistence,pooled_nse_persistence,mae_damped,rel_bias_damped,pooled_nse_damped,mae_skill_vs_persistence,winrate_vs_persistence,mae_skill_vs_damped,winrate_vs_damped
P50-P80,1,1550,6.5919123,2016-10-02,2023-09-30,2.0758187770843506,-0.0165395550429821,0.7345373630523682,1.752931833267212,0.062248945236206055,0.6552510261535645,1.4744191706529006,-0.0547830355792106,0.8312933107362962,-0.18419823160797066,0.30193548387096775,-0.40788916639298645,0.3367741935483871
P50-P80,2,1538,6.642362,2016-10-03,2023-09-30,2.0810251235961914,-0.03578982874751091,0.7301415205001831,2.3942959308624268,-0.08082041889429092,0.5537010431289673,2.424709038624567,-0.22428850146489146,0.5871520783683664,0.1308404709827975,0.4213263979193758,0.14174233260718683,0.47919375812743825
P50-P80,3,1534,6.6594877,2016-10-13,2023-09-30,2.12953519821167,-0.03929859399795532,0.7310538291931152,2.8923375606536865,-0.07858698815107346,0.42654961347579956,2.832256077793573,-0.2704375570051923,0.508879679425961,0.26373213584019506,0.4876140808344198,0.24811346865547101,0.5586701434159062
P50-P80,4,1534,6.6594877,2016-10-13,2023-09-30,2.229192018508911,-0.03773225471377373,0.7090935111045837,3.372955799102783,-0.06337344646453857,0.05989265441894531,3.1998167705010334,-0.30810057909006017,0.3877920209040209,0.33909836022699047,0.5071707953063885,0.3033376038716554,0.5775749674054759
P50-P80,5,1534,6.6594877,2016-10-13,2023-09-30,2.284756898880005,-0.03923851251602173,0.6862220764160156,3.683393955230713,-0.12527532875537872,-0.005088210105895996,3.4344204674843,-0.3561544531866956,0.2862842308843646,0.3797142182862444,0.5312907431551499,0.3347474718045864,0.5925684485006519
P50-P80,6,1534,6.6594877,2016-10-13,2023-09-30,2.4068145751953125,-0.040241435170173645,0.646115779876709,3.7665276527404785,-0.11408630758523941,-0.05091392993927002,3.451187350128769,-0.3775266630272782,0.28842580518135785,0.36099909595933954,0.545632333767927,0.3026125993694574,0.5984354628422425
P50-P80,7,1534,6.6594877,2016-10-13,2023-09-30,2.7168633937835693,0.011598595418035984,0.3964541554450989,3.9112660884857178,-0.10907310992479324,0.0529215931892395,3.5246771496057905,-0.3919064667228273,0.2645352860128086,0.30537495217170774,0.5580182529335072,0.22918801397528543,0.5873533246414603
P80-P95,1,931,9.917524,2016-10-14,2023-09-30,4.097116470336914,-0.29366955161094666,0.5981386303901672,3.558345079421997,-0.23224860429763794,0.6416075825691223,3.758615936737103,-0.33067450526429504,0.6409452673261814,-0.15141066391526947,0.3544575725026853,-0.09005988887858218,0.38990332975295383
P80-P95,2,931,9.917524,2016-10-14,2023-09-30,4.161036491394043,-0.3127783238887787,0.5915763974189758,4.405636787414551,-0.3565047085285187,0.4778076410293579,5.011790514244572,-0.47858928138744294,0.3620262888447454,0.05551985055128694,0.45112781954887216,0.16975051539614538,0.5037593984962406
P80-P95,3,931,9.917524,2016-10-14,2023-09-30,4.271188259124756,-0.29552575945854187,0.5691535472869873,4.913313865661621,-0.40414056181907654,0.41621774435043335,5.77473556067275,-0.5422629393482873,0.22765187381972185,0.13069093977988666,0.4940923737916219,0.2603664333631984,0.569280343716434
