flow band,coverage90,escape above,escape below
low tercile,0.6860267772958702,0.08598906279464454,0.2279841599094852
mid tercile,0.7263296869105997,0.14013579781214636,0.13353451527725388
high tercile,0.7433044134288948,0.22689551112787626,0.02980007544322897
