model,basin,name,lead,CRPS,coverage90,reliability_TV,spread_skill,n
CMAL,camels_10343500,,6,0.6164953445905137,0.589041095890411,0.3712328767123288,2.5948944447854174,730
deterministic,camels_10343500,,6,0.9690597275348559,,,,730
CMAL,camels_10343500,,7,0.6231610385659099,0.5958904109589042,0.37123287671232885,2.652766001642619,730
deterministic,camels_10343500,,7,0.9855057386502828,,,,730
CMAL,camels_11148900,,0,1.164929286473102,0.6082191780821918,0.5979452054794521,1.887838529463782,730
deterministic,camels_11148900,,0,1.435018252918165,,,,730
CMAL,camels_11148900,,1,1.28405497963751,0.5945205479452055,0.6171232876712329,1.9470562047252744,730
deterministic,camels_11148900,,1,1.5713826123165757,,,,730
CMAL,camels_11148900,,2,1.3704768382477164,0.589041095890411,0.6239726027397261,2.3459866595638514,730
deterministic,camels_11148900,,2,1.5675177331656627,,,,730
CMAL,camels_11148900,,3,1.3650649625246325,0.5835616438356165,0.6239726027397261,1.9989460410871551,730
deterministic,camels_11148900,,3,1.6396588270794856,,,,730
CMAL,camels_11148900,,4,1.3901209343933438,0.589041095890411,0.6253424657534248,2.3950497187161846,730
deterministic,camels_11148900,,4,1.6792349532858966,,,,730
CMAL,camels_11148900,,5,1.365328362445237,0.5958904109589042,0.6157534246575342,1.8193893058313073,730
deterministic,camels_11148900,,5,1.6341065601126787,,,,730
CMAL,camels_11148900,,6,1.3565946214676676,0.5972602739726027,0.6116438356164384,0.6543002566714999,730
deterministic,camels_11148900,,6,1.6462530138557905,,,,730
CMAL,camels_11148900,,7,1.436649147918695,0.5958904109589042,0.6116438356164383,2.302893983068292,730
deterministic,camels_11148900,,7,1.644542630731243,,,,730
CMAL,camels_11230500,Bear Ck,0,0.6421376432753799,0.7438356164383562,0.3205479452054794,3.172578534777011,730
deterministic,camels_11230500,Bear Ck,0,0.776321319113039,,,,730
CMAL,camels_11230500,Bear Ck,1,0.6083952613687522,0.7643835616438356,0.29520547945205483,0.92818665824281,730
deterministic,camels_11230500,Bear Ck,1,0.7286401035034493,,,,730
CMAL,camels_11230500,Bear Ck,2,0.597526823089423,0.7726027397260274,0.2787671232876712,2.54107165133647,730
deterministic,camels_11230500,Bear Ck,2,0.6989082093924692,,,,730
CMAL,camels_11230500,Bear Ck,3,0.6076125896604916,0.7712328767123288,0.28356164383561644,3.1294778395818077,730
deterministic,camels_11230500,Bear Ck,3,0.6953536565173162,,,,730
CMAL,camels_11230500,Bear Ck,4,0.6247227798847677,0.7575342465753425,0.28835616438356165,2.9871488925992815,730
deterministic,camels_11230500,Bear Ck,4,0.69130215056955,,,,730
CMAL,camels_11230500,Bear Ck,5,0.6499744597442083,0.7479452054794521,0.27808219178082194,2.0776873826748155,730
deterministic,camels_11230500,Bear Ck,5,0.7321518224396117,,,,730
CMAL,camels_11230500,Bear Ck,6,0.6775874232206458,0.7287671232876712,0.2958904109589041,2.1491734478809796,730
deterministic,camels_11230500,Bear Ck,6,0.7683427301171708,,,,730
CMAL,camels_11230500,Bear Ck,7,0.7092584728784789,0.6945205479452055,0.2938356164383562,2.7580703934451516,730
deterministic,camels_11230500,Bear Ck,7,0.8091822999797456,,,,730
CMAL,camels_11237500,Pitman Ck,0,1.1168291328847524,0.536986301369863,0.4965753424657534,0.7374304770076284,730
