basin,wrf_srunoff_peak_hist,wrf_srunoff_peak_ftr,wrf_ratio,lstm_ratio,precip_ratio
camels_10336645,5.098498344421387,64.22223663330078,12.596304302730763,3.7212109004735887,1.456773422822393
camels_10336660,2.727081298828125,48.02642822265625,17.610926466803193,2.441998410888912,1.38541173225601
camels_10343500,4.822323799133301,44.572532653808594,9.24295723605691,4.947374685946418,1.370368956856522
camels_11148900,38.43137741088867,95.22806549072266,2.4778728191964805,1.410620310162883,1.6994258685315968
camels_11230500,0.16236025094985962,1.10642409324646,6.8146241877154266,8.980989144918427,1.2741185609410992
camels_11237500,2.083132028579712,94.59890747070312,45.411863565460635,1.7697729718718496,1.364876221685621
camels_11264500,1.0986132621765137,22.759794235229492,20.716839145141037,8.225491022186093,1.3995289815260725
camels_11266500,1.9221806526184082,36.754371643066406,19.121184886030008,5.6180823558051065,1.4486004637544305
camels_11381500,18.42249870300293,49.715126037597656,2.6986092841734832,2.1566899029988695,1.639479821693828
camels_11451100,39.515533447265625,55.899993896484375,1.4146334117210941,1.9672298733967126,1.444686953838886
camels_11468500,20.675628662109375,18.185462951660156,0.8795603388344485,1.5195997411146351,1.3995909321083797
camels_11473900,32.426639556884766,48.013648986816406,1.4806853143875105,1.556100827183762,1.3613651459762144
camels_11475560,36.95101547241211,54.12248229980469,1.4647089290472386,1.3684828124883541,1.5772504680540578
camels_11476600,27.684619903564453,87.05062866210938,3.144367846310992,1.5905063098044812,1.6339122289136427
camels_11478500,45.30647277832031,76.35953521728516,1.6854001323586616,1.1948058619460469,1.491243089024872
camels_11480390,29.20923614501953,34.250614166259766,1.1725953392348414,1.1844687297921634,1.4381331425255628
camels_11481200,11.350830078125,49.304176330566406,4.343662621254812,1.4575619238108999,1.8601874977946058
camels_11482500,21.51646614074707,36.291160583496094,1.6866691930776339,1.580860813678601,1.6406876090075022
camels_11522500,17.6558895111084,36.12934112548828,2.0463053477287056,2.0431182345242718,1.5426463140657385
camels_11523200,30.725801467895508,68.91544342041016,2.242917682470151,1.2019415724281346,1.4531014165507248
camels_11528700,21.2069149017334,35.73550796508789,1.6850875353947388,1.5169280992058896,1.491961132095461
camels_11532500,31.869495391845703,59.49528884887695,1.866841257364236,1.5081024873778806,1.420657383832964
