basin,variant,lead,n,issue_date_first,issue_date_last,valid_date_first,valid_date_last,coverage90,crps
camels_11237500,raw,6,718,2016-10-01,2023-09-24,2016-10-07,2023-09-30,0.4192200557103064,1.3912665988624493
camels_11237500,raw,7,716,2016-10-01,2023-09-23,2016-10-08,2023-09-30,0.3952513966480447,1.4681381851140403
camels_11264500,raw,0,730,2016-10-01,2023-09-30,2016-10-01,2023-09-30,0.7,0.9288115022315352
camels_11264500,raw,1,728,2016-10-01,2023-09-29,2016-10-02,2023-09-30,0.7060439560439561,0.901512218188004
camels_11264500,raw,2,726,2016-10-01,2023-09-28,2016-10-03,2023-09-30,0.709366391184573,0.8921917955386307
camels_11264500,raw,3,724,2016-10-01,2023-09-27,2016-10-04,2023-09-30,0.7030386740331491,0.8972407891826197
camels_11264500,raw,4,722,2016-10-01,2023-09-26,2016-10-05,2023-09-30,0.7105263157894737,0.9246545236897746
camels_11264500,raw,5,720,2016-10-01,2023-09-25,2016-10-06,2023-09-30,0.6875,0.9394252043543903
camels_11264500,raw,6,718,2016-10-01,2023-09-24,2016-10-07,2023-09-30,0.6838440111420613,0.9438924731234211
camels_11264500,raw,7,716,2016-10-01,2023-09-23,2016-10-08,2023-09-30,0.6675977653631285,0.9627584961998057
camels_11266500,raw,0,730,2016-10-01,2023-09-30,2016-10-01,2023-09-30,0.6219178082191781,1.0704137711949213
camels_11266500,raw,1,728,2016-10-01,2023-09-29,2016-10-02,2023-09-30,0.6277472527472527,1.053442301060071
camels_11266500,raw,2,726,2016-10-01,2023-09-28,2016-10-03,2023-09-30,0.6198347107438017,1.0509390206925873
camels_11266500,raw,3,724,2016-10-01,2023-09-27,2016-10-04,2023-09-30,0.6160220994475138,1.065740401891174
camels_11266500,raw,4,722,2016-10-01,2023-09-26,2016-10-05,2023-09-30,0.5969529085872576,1.1059245512560372
camels_11266500,raw,5,720,2016-10-01,2023-09-25,2016-10-06,2023-09-30,0.5902777777777778,1.1350046013585375
camels_11266500,raw,6,718,2016-10-01,2023-09-24,2016-10-07,2023-09-30,0.5710306406685237,1.1409339222807908
camels_11266500,raw,7,716,2016-10-01,2023-09-23,2016-10-08,2023-09-30,0.5516759776536313,1.1689684784140906
camels_11381500,raw,0,730,2016-10-01,2023-09-30,2016-10-01,2023-09-30,0.8054794520547945,0.6808635044081017
